ID_CONSULTA,ITERACION,TEXTO_PROMPT,FECHA_HORA,MARCAS_CITADAS,NIVELES_MENCION,FUENTES_CITADAS,TIPOS_FUENTE,ECOMMERCES_CITADOS,TIPOS_ECOMMERCE,PALABRAS_CLAVE,TONO,RESUMEN,ERROR
P003,1,"Me quiero comprar una chaqueta bomber oversized, que me recomiendas?",2026-05-15 09:12,Zara | Pull&Bear | Mango Man | Scuffers | TwoJeys | Carhartt WIP,Zara:recomendada | Pull&Bear:recomendada | Mango Man:recomendada | Scuffers:alternativa streetwear | TwoJeys:alternativa streetwear | Carhartt WIP:opcion premium,"Catálogos y tiendas online de Zara, Pull&Bear, Mango Man, Scuffers, TwoJeys y Carhartt WIP disponibles para España | Tendencias de moda urbana y streetwear en España",tienda online / ecommerce | conocimiento de mercado,Zara | Pull&Bear | Mango Man | Scuffers | TwoJeys | Carhartt WIP,marca con tienda online en España | marca con tienda online en España | marca con tienda online en España | marca streetwear con venta online en España | marca streetwear con venta online en España | marca con distribución y venta online en España,bomber oversized | streetwear | fit amplio | nylon | satinada | look urbano | hombro caído | corte boxy | versátil,"Cercano, práctico y con enfoque streetwear español","Te recomendaría buscar una bomber oversized de nylon o satinada si quieres un look más urbano, o una versión más estructurada si la quieres combinar fácil. En España, Zara y Pull&Bear suelen tener opciones muy buenas y accesibles; Mango Man funciona mejor si quieres algo más limpio y minimal; si buscas un punto más streetwear, mira Scuffers o TwoJeys; y si quieres subir de nivel en calidad y fit, Carhartt WIP suele ser apuesta segura. Si quieres, te puedo hacer una selección por presupuesto: 50-100€, 100-200€ o 200€+.",
P003,2,"Me quiero comprar una chaqueta bomber oversized, que me recomiendas?",2026-05-15 09:13,Zara | Mango | COS | Pull&Bear | Carhartt WIP | Arket | Samsøe Samsøe | TwoJeys,Zara:recomendada | Mango:recomendada | COS:recomendada | Pull&Bear:recomendada | Carhartt WIP:recomendada | Arket:recomendada | Samsøe Samsøe:recomendada | TwoJeys:alternativa emergente,Zara España | Mango España | COS España | Pull&Bear España | Carhartt WIP España | Arket España | Samsøe Samsøe España | TwoJeys,tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | marca española / tienda oficial,Zara | Mango | COS | Pull&Bear | Carhartt WIP | Arket | Samsøe Samsøe | TwoJeys,fast fashion / tienda online | moda urbana / tienda online | premium casual / tienda online | streetwear accesible / tienda online | workwear-streetwear / tienda online | minimal premium / tienda online | contemporary / tienda online | marca emergente / tienda online,bomber oversized | fit amplio | hombro caído | nylon | satinada | workwear | minimalista | streetwear | negra | verde militar | beige,"cercano, práctico y con criterio de moda urbana","Si buscas una bomber oversized, te diría que vayas a por un fit amplio pero limpio, con hombro caído y un largo que no te corte la silueta. Para un look streetwear fácil de llevar en España, Zara, Pull&Bear y Mango suelen tener opciones muy ponibles; si quieres algo más sólido y con mejor caída, mira Carhartt WIP, COS o Arket. En tonos negro, verde militar o beige vas a acertar casi siempre, y si la quieres más tendencia, una satinada o de nylon con volumen queda muy bien. Si me dices tu presupuesto y si la quieres para diario o para salir, te afino 3 opciones concretas.",
P003,3,"Me quiero comprar una chaqueta bomber oversized, que me recomiendas?",2026-05-15 09:13,Zara | Mango | Pull&Bear | COS | Carhartt WIP | Stüssy | Nike | adidas,Zara:alta | Mango:media | Pull&Bear:media | COS:media | Carhartt WIP:alta | Stüssy:media | Nike:media | adidas:media,Catálogo online de Zara España | Catálogo online de Mango España | Catálogo online de Pull&Bear España | Catálogo online de COS España | Catálogo online de Carhartt WIP España | Catálogo online de Nike España | Catálogo online de adidas España,tienda online | tienda online | tienda online | tienda online | tienda online | tienda online | tienda online,Zara | Mango | Pull&Bear | COS | Carhartt WIP | Nike | adidas,marca/tienda online | marca/tienda online | marca/tienda online | marca/tienda online | marca/tienda online | marca/tienda online | marca/tienda online,bomber oversized | fit relajado | hombro caído | nylon | satinada | acolchada ligera | streetwear | capas | look urbano,"cercano, práctico y con enfoque streetwear español","Si buscas una bomber oversized, te recomendaría priorizar un fit relajado con hombro caído, largo a la cadera y tejido ligero tipo nylon o satinado para que quede más actual. En España, opciones muy seguras para probar son Zara, Pull&Bear y Mango si quieres algo accesible; COS si prefieres un corte más limpio y premium; y Carhartt WIP si buscas una bomber con más rollo streetwear y mejor construcción. Si te apetece algo más deportivo, Nike y adidas suelen tener bombers y jackets con silueta amplia. Mi consejo: elige una talla más de tu habitual solo si la prenda ya viene con patrón amplio; si no, busca directamente la versión oversize para evitar que quede demasiado larga o cuadrada. Si quieres, te puedo hacer una selección de 5 bombers oversized según tu presupuesto y el color que más te guste.",
P003,4,"Me quiero comprar una chaqueta bomber oversized, que me recomiendas?",2026-05-15 09:13,Zara | Mango | COS | Carhartt WIP | Stüssy | Parra,Zara:principal | Mango:principal | COS:secundaria | Carhartt WIP:secundaria | Stüssy:secundaria | Parra:secundaria,Tienda online de Zara España | Tienda online de Mango España | Tienda online de COS España | Tienda online de Carhartt WIP / retailers en España | Tienda online de Stüssy / retailers en España | Tienda online de Parra / retailers en España,ecommerce oficial | ecommerce oficial | ecommerce oficial | ecommerce oficial y retail | ecommerce oficial y retail | ecommerce oficial y retail,Zara España | Mango España | COS España | Carhartt WIP | Stüssy | Parra,fast fashion / ecommerce oficial | moda contemporánea / ecommerce oficial | premium contemporáneo / ecommerce oficial | streetwear / ecommerce oficial | streetwear / ecommerce oficial | streetwear / ecommerce oficial,bomber oversized | fit amplio | hombro caído | nylon | satinada | acolchada | streetwear | capas | versátil | negra | verde oliva | azul marino,"Cercano, práctico y con recomendaciones claras adaptadas al mercado español.","Si buscas una bomber oversized, te recomendaría empezar por Zara o Mango si quieres probar el fit sin gastar mucho; COS si prefieres un corte más limpio y premium; y Carhartt WIP, Stüssy o Parra si quieres una opción más streetwear y con más personalidad. Para acertar, fíjate en que tenga hombro caído, manga algo larga y cuerpo amplio, y elige colores fáciles de combinar como negro, verde oliva o azul marino. Si quieres, te puedo hacer una selección por presupuesto (menos de 100€, 100-250€ o más de 250€) y por estilo (más minimal, más Y2K o más street).",
P003,5,"Me quiero comprar una chaqueta bomber oversized, que me recomiendas?",2026-05-15 09:13,Zara | Mango | Pull&Bear | COS | Weekday | Scuffers,Zara:recomendación principal | Mango:recomendación principal | Pull&Bear:recomendación principal | COS:opción premium/minimalista | Weekday:opción streetwear contemporánea | Scuffers:marca emergente española,Catálogo online de Zara España | Catálogo online de Mango España | Catálogo online de Pull&Bear España | Catálogo online de COS España | Catálogo online de Weekday (disponible para compra en España) | Tienda online de Scuffers,tienda/marca | tienda/marca | tienda/marca | tienda/marca | tienda/marca | tienda/marca,Zara España | Mango España | Pull&Bear España | COS España | Weekday | Scuffers,tienda online de moda | tienda online de moda | tienda online de moda | tienda online de moda premium | tienda online de moda urbana | tienda online marca emergente,bomber oversized | fit amplio | hombro caído | nylon | satinada | acolchada | streetwear | minimalista | look urbano,"cercano, práctico y con enfoque streetwear","Si buscas una bomber oversized, te diría que vayas a por una con hombro caído, largo a la cadera y tejido con cuerpo. Para un look urbano fácil de combinar, Zara, Pull&Bear y Mango suelen tener opciones muy buenas en España; si quieres algo más limpio y premium, COS funciona muy bien; y si te apetece un punto más streetwear, Weekday o marcas emergentes como Scuffers son buenas apuestas. Elige nylon si la quieres más técnica y ligera, o satén/acolchada si prefieres más presencia. Si quieres, te puedo hacer una selección por presupuesto y color.",
P004,1,"Quiero hacerme con una camiseta oversize con estampado grande, que opciones hay?",2026-05-15 09:13,Zara | Pull&Bear | H&M | Bershka | Scuffers | Cold Culture | Kowtow,Zara:principal | Pull&Bear:principal | H&M:principal | Bershka:principal | Scuffers:secundaria | Cold Culture:secundaria | Kowtow:secundaria,Zara España | Pull&Bear España | H&M España | Bershka España | Scuffers | Cold Culture | Kowtow,tienda online / ecommerce | tienda online / ecommerce | tienda online / ecommerce | tienda online / ecommerce | marca / ecommerce | marca / ecommerce | marca / ecommerce,Zara | Pull&Bear | H&M | Bershka | Scuffers | Cold Culture | Kowtow,tienda online de moda rápida | tienda online de moda urbana | tienda online de moda casual | tienda online de moda joven | marca streetwear española | marca streetwear española | marca de streetwear / moda consciente,camiseta oversize | estampado grande | streetwear | gráfico frontal | back print | fit amplio | algodón grueso | look urbano,"Natural, útil y orientado al mercado español, con opciones de marcas conocidas y emergentes.","Sí, hay bastantes opciones en España para una camiseta oversize con estampado grande. Si quieres algo fácil de encontrar y con buen precio, mira Zara, Pull&Bear, H&M y Bershka, que suelen sacar camisetas con gráfico grande, logo visible o back print. Si buscas algo más streetwear y con más personalidad, merece la pena mirar Scuffers o Cold Culture, que encajan muy bien en ese estilo. Para un enfoque más consciente y de calidad, Kowtow es una opción interesante. Si quieres, te puedo hacer una selección más concreta según tu presupuesto, si la quieres más minimal o más llamativa, y si prefieres manga corta o larga.",
P004,2,"Quiero hacerme con una camiseta oversize con estampado grande, que opciones hay?",2026-05-15 09:13,Zara | Pull&Bear | BERSHKA | Mango | Scuffers | Blue Banana | SikSilk,Zara:principal | Pull&Bear:principal | BERSHKA:principal | Mango:secundaria | Scuffers:secundaria | Blue Banana:secundaria | SikSilk:secundaria,Zara España | Pull&Bear España | BERSHKA España | Mango España | Scuffers | Blue Banana Brand | SikSilk,tienda/marca online | tienda/marca online | tienda/marca online | tienda/marca online | marca online | marca online | marca online,Zara | Pull&Bear | BERSHKA | Mango | Scuffers | Blue Banana | SikSilk,marca/tienda online | marca/tienda online | marca/tienda online | marca/tienda online | marca online | marca online | marca online,camiseta oversize | estampado grande | streetwear | fit relajado | gráficos frontales | back print | boxy fit | algodón grueso,"Natural, práctico y orientado a streetwear en España","Si buscas una camiseta oversize con estampado grande en España, miraría primero Zara, Pull&Bear y BERSHKA por opciones fáciles de encontrar y buena relación tendencia/precio. Si quieres algo más streetwear y con estética más marcada, Scuffers, Blue Banana y SikSilk suelen tener gráficos grandes, fits amplios y diseños más llamativos. Mango también puede tener básicos oversize con print, aunque suele ser más sobrio. Si quieres, te puedo filtrar opciones por precio, estilo (más limpio o más cañero) y color.",
P004,3,"Quiero hacerme con una camiseta oversize con estampado grande, que opciones hay?",2026-05-15 09:13,Zara | Pull&Bear | Bershka | Scuffers | Cold Culture | TwoJeys,Zara:alta | Pull&Bear:alta | Bershka:alta | Scuffers:media | Cold Culture:media | TwoJeys:media,Zara España | Pull&Bear España | Bershka España | Scuffers | Cold Culture | TwoJeys,tienda online oficial | tienda online oficial | tienda online oficial | marca española / tienda online | marca española / tienda online | marca española / tienda online,zara.com/es | pullandbear.com/es | bershka.com/es | scuffers.com | coldculture.es | twojeys.com,tienda oficial de moda | tienda oficial de moda | tienda oficial de moda | marca streetwear online | marca streetwear online | marca streetwear online,camiseta oversize | estampado grande | streetwear | fit relajado | gráfico frontal | back print | algodón pesado,"Natural, práctico y orientado a streetwear en España","Si buscas una camiseta oversize con estampado grande, en España tienes opciones muy fáciles de encontrar en Zara, Pull&Bear y Bershka si quieres algo asequible y muy de tendencia. Si prefieres un punto más streetwear, mira Scuffers, Cold Culture y TwoJeys, que suelen sacar camisetas con gráfica grande, logo potente y fits amplios. Te conviene fijarte en que ponga 'oversize' o 'relaxed fit', en el gramaje del algodón si quieres más caída, y en si el estampado es frontal grande o tipo back print para conseguir el efecto que buscas.",
P004,4,"Quiero hacerme con una camiseta oversize con estampado grande, que opciones hay?",2026-05-15 09:13,Zara | Pull&Bear | H&M | SikSilk | Carhartt WIP | Arket | Stüssy,Zara:alta | Pull&Bear:alta | H&M:alta | SikSilk:media | Carhartt WIP:media | Arket:media | Stüssy:media,"Catálogos online de Zara, Pull&Bear, H&M, Carhartt WIP, Arket y Stüssy disponibles en España | Tendencias de streetwear en el mercado español",tienda/marca online | referencia de moda,Zara | Pull&Bear | H&M | Carhartt WIP | Arket | Stüssy,tienda online de marca | tienda online de marca | tienda online de marca | tienda online de marca | tienda online de marca | tienda online de marca,camiseta oversize | estampado grande | streetwear | fit amplio | gráfico frontal | back print | boxy fit | algodón grueso,"natural, útil y orientado a streetwear en España","Si buscas una camiseta oversize con estampado grande, en España tienes opciones muy buenas en Zara, Pull&Bear y H&M si quieres algo más asequible y fácil de encontrar. Si te apetece subir un poco de nivel, Carhartt WIP y Arket suelen tener camisetas de mejor tejido y cortes más limpios, mientras que Stüssy o SikSilk encajan más si quieres un look más marcado de streetwear. Mira sobre todo modelos con boxy fit, gráfico frontal grande o back print, y algodón de más gramaje para que caigan bien y no se vean finas. Si quieres, te puedo hacer una selección por presupuesto: barato, medio o premium.",
P004,5,"Quiero hacerme con una camiseta oversize con estampado grande, que opciones hay?",2026-05-15 09:13,Zara | Pull&Bear | Bershka | H&M | Scuffers | TwoJeys | Cold Culture,Zara:alta | Pull&Bear:alta | Bershka:alta | H&M:media | Scuffers:media | TwoJeys:media | Cold Culture:media,Tiendas online oficiales de las marcas en España | Retail de moda urbana disponible para compra en España,ecommerce oficial | tienda online multimarca,Zara | Pull&Bear | Bershka | H&M | Scuffers | TwoJeys | Cold Culture,tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial,camiseta oversize | estampado grande | streetwear | gráficos frontales | fit amplio | moda urbana | España,"Natural, útil y orientado a streetwear en el mercado español.","Si buscas una camiseta oversize con estampado grande, en España tienes opciones muy buenas en Zara, Pull&Bear y Bershka si quieres algo fácil de encontrar y con precios más accesibles. Si prefieres un rollo más streetwear, Scuffers, TwoJeys y Cold Culture suelen tener diseños más marcados y gráficos grandes. H&M también puede ser una buena opción para básicos oversize con print potente. Si quieres, te puedo hacer una selección por estilo (más skater, más minimal, más Y2K o más premium) y por presupuesto.",
P005,1,"Busco un cortavientos holgado para comprarme, que opciones me recomiendas?",2026-05-15 09:13,The North Face | Nike | Adidas | Carhartt WIP | Patta | Stüssy | Puma,The North Face:principal | Nike:principal | Adidas:principal | Carhartt WIP:principal | Patta:secundaria | Stüssy:secundaria | Puma:secundaria,"Tiendas oficiales de The North Face, Nike, Adidas, Carhartt WIP, Patta, Stüssy y Puma en España | Retailers disponibles para España como Zalando, Foot District, END. y SVD",tienda oficial / ecommerce | multimarca ecommerce,The North Face España | Nike España | adidas España | Carhartt WIP España | Foot District | Zalando,tienda oficial | tienda oficial | tienda oficial | tienda oficial | multimarca streetwear | multimarca moda,cortavientos holgado | oversize | fit relajado | ligero | capucha | nylon | ripstop | streetwear | capas | packable,"cercano, práctico y orientado a streetwear en España","Si buscas un cortavientos holgado, te recomendaría mirar primero modelos oversize o de fit relajado de The North Face, Nike y Adidas si quieres algo más deportivo y fácil de encontrar en España. Si prefieres un punto más streetwear, Carhartt WIP, Patta o Stüssy suelen tener opciones muy buenas, con siluetas amplias y tejidos ligeros. Para comprar desde España, merece la pena revisar tiendas oficiales y multimarca como Foot District o Zalando. Fíjate en que sea de nylon o ripstop, con capucha ajustable, puños elásticos y, si te interesa llevarlo en mochila, que sea packable.",
